---- start log ----
---- start log ----
frame_33b94b4463f811e564f2084d5fcdab2e_5dd58b0e0c11086e6e9f24733614f441_30000-1280_720	day->Night [45.0]
frame_2067f7def2dba70e03dfd8f400c08b20_bd41471c8677e1cdf0935561cb27dc8d_0-1280_720	night->Day [99.0]
frame_4e98535b5e4612c4f8d241a4c15fb4fb_bb7f9ea7affe80ac3453c9be7f810c6a_90000-1280_720	night->Day [97.0]
frame_4fc1ea686b16466655393fcb6d92fc3d_3d7f844bf06a325b93eb3cac1b588619_0-1280_720	night->Day [124.0]
incident-0-36222e8e-af12-411e-a56f-cc88502bd61c.mp4-0001	night->Day [70.0]
frame_1be7230b49d5811b84b3d95d63c77dc4_4877bb650da381c70bee72c540fbf5a7_30000-1280_720	night->Day [77.0]
frame_0bd1c7aca0fd1c640d437018436d2067_884ea497d4e03367496e79eb8cbf35c4_90000-1280_720	night->Day [111.0]
frame_cfbf5b79fafedc4a48ea66f4b56459f6_ea6e2fd8897926ce1e8c642a854fc74a_90000-1280_720	night->Day [93.0]
frame_8053bfebefd262b78be0bbe63be7bab4_6885962f771926c37336bf57a438fd40_0-1280_720	night->Day [104.0]
frame_8e3195c29abc46371e79f246879ea5b0_4b6909c9aee58353a5e51e5fa8ad716e_0-1280_720	night->Day [80.0]
frame_f4e7c0e24da0003571bcb0037fc1ac05_fe52a7b417a46b81cbd7078d442fdf56_30000-1280_720	night->Day [105.0]
40a45ddc-e62a-4d62-bc61-43555f625278.mov-0001	night->Day [75.0]
frame_59668545dba254c50d4c1255afc31f08_a43c4e69b47c8819918ef481ca4fd204_60000-1280_720	night->Day [102.0]
c55b3907-02d8-4598-8c03-b754f3ac1239.mov-0001	night->Day [97.0]
frame_6769de8ca0e1910691f3dc339e4d82db_d7177b6e873ced1e55a1190caf6a598f_90000-1280_720	night->Day [78.0]
frame_42802c66c5e632f60c93d986d8f29a2d_39e4e74db349cac6dcefa3a13b36fa9d_60000-1280_720	night->Day [122.0]
frame_4502f359372051e5f33d6df936407a8f_3e950e6c0d0565613b7af05fefa6ad5f_60000-1280_720	night->Twilight [61.0]
frame_6024fb24431f6473d2e13b7d619f265a_51977e20e24588d27626b52261946e55_30000-1280_720	night->Day [127.0]
frame_96d34c117ca9c41892a0646af5d0cdaa_8b5118e5ef3ce1deb9283d65e4031e5a_30000-1280_720	night->Twilight [66.0]
frame_ee5956b051a8f5b155d9af533abb688b_307d1ff55cdce861527b8a6c7c7389a1_30000-1280_720	night->Twilight [63.0]
frame_06483c7c-34dd-4cae-b784-01c7f1f6357b_00002-1280_720	night->Day [78.0]
frame_8b2e6c1bf29b525a6fb5f1f30955298a_d2ec912a56f407f06f0891756d4ab5e7_60000-1280_720	night->Day [111.0]
frame_ce54af10ba9fc72089d1bdbfbf0f41ce_06702f11724c99f0746f8de6eb30c4ac_0-1280_720	night->Day [113.0]
frame_0cb3ff49bb3ec085b3cec1d02e4d91d9_1ed758c99018af9ded4ee607533dbc8a_60000-1280_720	night->Day [115.0]
frame_cba79bfa587f346dba7b213d2103531b_19b905d28a91f56ecd183763c1083a73_30000-1280_720	night->Day [78.0]
frame_4edd1e863a20f7d554b9c7d30a6433c2_01a1fd8776c17543b8314a9a2f488570_60000-1280_720	night->Day [86.0]
incident-0-86b35556-6eda-4aa2-97e1-873ba0913770.mp4-0001	night->Twilight [68.0]
frame_d5605d2b939fcd744a63c382ac2906e0_3fb3cc8c1a21eb631b3184702c498de7_90000-1280_720	night->Day [115.0]
frame_4291f5f2417a2cfe80bf25a4bb867de0_4769d723b05ac41ece059b44e73b3a29_0-1280_720	night->Day [114.0]
frame_16f94bf63e52221eaaf8181ed5815d2e_2f3aa5662699056df0bc6a04a139a3a2_90000-1280_720	night->Day [96.0]
frame_8c77a4aa600cd18020ac2cf1ac144b8c_80b931f789689dc7e130fb07e001d16b_0-1280_720	night->Day [81.0]
frame_9231ab4f4aba670cbbaa0f05da99a70f_acf42fd1811f61b8b3332b5a8e5e368a_90000-1280_720	night->Day [93.0]
frame_0794a806-e68f-4d0b-922e-0264d453c6e4_00003-1280_720	night->Day [81.0]
frame_6c9129b1a193453e139e7189fb38f1fb_9d103ea0f7b07447546e6e405478e8eb_60000-1280_720	night->Day [93.0]
frame_a3e1cd6ed1bbe99a5506387117059435_a883670ea647146e17c92f3e7682e068_0-1280_720	night->Day [98.0]
frame_ed9f1819e283e18f0c87f269c5c663dc_45a5e5e10dbb59c51b9cd800f7881590_60000-1280_720	night->Day [103.0]
frame_8784dde5647992579da2b337aaf25adc_351d661c93af20b6f82fefe84743db26_0-1280_720	night->Day [111.0]
frame_84fec15af446405066957d5f3b37b9f3_6ef5830fd1b6be1a522ba313834815e4_60000-1280_720	night->Day [97.0]
frame_f0c8d9c0c9968b85d977a154bf2e3a50_aac1308c6247cfa9075adcd1e85af139_90000-1280_720	night->Day [87.0]
frame_fc4b4ede348fb801d96535da8f4f7d65_30b34ed11b566f9b12da47af2008c7d1_60000-1280_720	night->Day [94.0]
frame_bebd1053a86d1a2299afa9ca147b270d_85059dbd677c0c5ec7a6bcad362f7867_90000-1280_720	night->Day [94.0]
frame_d26101503e6d32705b0a61346ffcb477_d90632428988d938ea4c5b9c1d2b8b27_0-1280_720	night->Day [112.0]
frame_6e4ce31d71de16b1efa61073912e5b29_9da7e82f3e710c29a4fbb45c9a0f39b4_90000-1280_720	night->Day [113.0]
frame_efe80b8d3e65c4fe4dd34b79cba8869f_f1b5650fea7ee45b1c31c7f20a527e69_90000-1280_720	night->Day [110.0]
frame_917de6a7a720d38d5fffc9978d0c8887_a083c06f239c708462f63bb0588e3616_0-1280_720	night->Day [75.0]
frame_db540a82346640b13c8833a72e376843_d531762c33f7faebc0f0748ce7f73109_0-1280_720	night->Day [120.0]
5f4f5e74-6734-4d09-acb9-b872ccef2fdc.mov-0001	night->Day [110.0]
frame_364031b125a6e4b6a3e3e6300faab0e2_0e05c71b1a11ea5bbaab5fcd816beca3_60000-1280_720	night->Day [70.0]
frame_060748addf11c8bc474ccaca356c38bd_aee96dfdcac263664ecad30b15b02033_60000-1280_720	night->Day [87.0]
frame_e396ff382eef827588e69b1b6ab57695_ba88d2e70b1d6a433b32d2f8ef6fc548_0-1280_720	night->Day [126.0]
frame_bbe05883741c7b66cd61cffd9c3fd06d_f58fe4ee0b37767da09bf0d1bc920de4_90000-1280_720	night->Twilight [61.0]
frame_f86f3271b61ebd9a76355520cf3a0cb5_caecc635d6a4a5ae25afd65fcd3e204b_30000-1280_720	night->Day [102.0]
frame_00ded55b-0002-45d4-816a-63a66347b29c_00003-1280_720	night->Twilight [63.0]
frame_e3a7a58a7f229b90611ed5f1e3587e68_269357c14345c0fa67aa8f95b0b9af54_90000-1280_720	night->Twilight [67.0]
frame_a27cc58bd43574635265ab1877e3986f_4d85b8e4c54bbbd922cb9b9cca5b700e_30000-1280_720	night->Day [152.0]
frame_17990b52e443ad95724b8b436682d11a_bf7a9d6c8e4afa0a49c63033e4e69416_0-1280_720	night->Day [70.0]
cec94c5e-6f43-421a-992c-038fbd43efd8.mov-0001	night->Day [85.0]
b2a90dea-2f01-4bb0-9a7f-d70e054b261e.mov-0001	night->Twilight [66.0]
frame_ba4a4ef7ec87d3ddac0dbcc7b972dd3a_889f8b8e03dc99e942753008719e3960_60000-1280_720	night->Day [75.0]
frame_3dc5b23bce586ce279b2b966da8b72ab_b2568d7c41544bc2184c1019b34ad0c8_0-1280_720	night->Day [114.0]
frame_9f5bc7c5ddebab9ac9861c0c9a40373e_5ddb7fa799e662148cdbd0e8c1740915_30000-1280_720	night->Day [80.0]
frame_a8e6fcc1dbd34be8de5e9768c556f5f2_4fc57ae112a2993d061d8d20231a6e58_0-1280_720	night->Day [95.0]
frame_a5adafdbf2063bbb16877f470ba2e4e5_f1a8979b10ec81daa50948260f6419e5_30000-1280_720	night->Day [116.0]
frame_a888dbc208de8ed77c9e22632cae38bd_976ade8007c43392fecc007293d27b26_60000-1280_720	night->Day [81.0]
frame_425642df688f18b703e7ceaff3a39325_345936abd25ac007c3a1baf5f759485b_30000-1280_720	night->Day [96.0]
frame_76fa9f0604172ce9b8aac5da5547889f_407ace70fb5d37556fce89647f5ec13b_90000-1280_720	night->Day [116.0]
9ac7220f-82b8-4a71-81fa-fa125f2e9c78.mov-0001	night->Day [112.0]
frame_30d21e7dccdd0b594ca86d525e4b0881_943b64a77346bcee3c84b4aa0bbff751_90000-1280_720	night->Day [168.0]
frame_ffbc6ffc68864dc4f1053c5c9976b93c_2c24f16e87a762361a904db1035deda7_0-1280_720	night->Day [108.0]
frame_9ea143edf3cef3e72ee0f63da55f25df_e478d2a28ec2a19b19f2852fd4515883_90000-1280_720	night->Twilight [68.0]
frame_93b55c0c64bfaa5857ff907a4ea36bba_153832e05b449bf8d37a2c851d00f761_0-1280_720	night->Twilight [60.0]
frame_0a928d898749266a392824b46a8bfb0e_546d237943b5b74a69bc7acfe53fdda6_90000-1280_720	night->Day [124.0]
frame_f1fa9b208332619bd172ae77349258c0_dd9b3b4b88432bb1bc89ef8ebb3d91a6_90000-1280_720	night->Day [82.0]
frame_d2cbda93df68ebf84dbc5776bbe15885_79bcfa1a890075adc7521fc56f89b770_30000-1280_720	night->Day [90.0]
frame_0cccbc3b-997c-442c-8154-7453af9bbaa0_00000-1280_720	night->Day [68.0]
frame_086e3b6db7f2e2df324bcfd4191dabba_301ef802c586eb57841a45fda5ef4107_0-1280_720	night->Day [70.0]
frame_a5adafdbf2063bbb16877f470ba2e4e5_cab2af9d99a36fd57ae0e9daa7912a2e_0-1280_720	night->Day [123.0]
frame_19f00d2d05c3df72da7997c2abff8494_8ea68c82412fd87f2d1b079748456d4c_90000-1280_720	night->Day [104.0]
frame_904d719f6d75339b4041d6c3532bfcdf_1082b8399b4180df63d79ba712d88ed0_30000-1280_720	night->Day [111.0]
frame_48d65259745d3daa56ff0e587e982b21_a845e5c8a75e213fd934c8b404a4253c_30000-1280_720	night->Twilight [64.0]
frame_3237abe37113bad5bbb29ef2dfac8719_ec0576cbfcf5f73fe5c797ea558e39f4_90000-1280_720	night->Day [105.0]
frame_ee5956b051a8f5b155d9af533abb688b_14bcfad16daf5b917e145a9e1c6c3b54_30000-1280_720	night->Day [91.0]
frame_12fd86cd951e5b9d5e97ad41d33dd309_5ec6e0b3a198604349d10a00ca978721_60000-1280_720	night->Day [98.0]
frame_d26101503e6d32705b0a61346ffcb477_c2c8f26586b03304dd5c567e33ba6796_30000-1280_720	night->Day [86.0]
frame_4700299b2a5f9e170f4ffc31d0d9f656_0e89557fefc021c3cb4a1122ffce9152_30000-1280_720	night->Day [101.0]
frame_bf5f69edf7379eecb43715e002efe75c_c771258ee6cc31ed6782a8aa68e2fcb6_90000-1280_720	night->Day [93.0]
frame_cc32bf9954c128524a3ad73f8a1448e5_f51eea3485075c8efc03a3debc22d414_60000-1280_720	night->Twilight [66.0]
frame_931bba63-c969-4f8c-b1bf-15b8083e8006_00000-1280_720	night->Twilight [63.0]
frame_e76b49e546f907a9fc5a5133ba5aa465_885f44c8f644a2b005c9834f4b37a4ad_60000-1280_720	night->Twilight [63.0]
frame_11040cd09e8481789d2beba56adfa490_72aac08ac8e660b1dacb9b77b0967f04_60000-1280_720	night->Day [108.0]
frame_62e3b29b1733515fa63c8e5823cbef14_6e39a1cbb49d0afa8c4fb1c7b27d2e45_90000-1280_720	night->Twilight [62.0]
frame_5823e2770bbd617d4b7e1b0815d6c4ae_c50fcd1488bc37c15e208ddfc03a998c_30000-1280_720	night->Day [75.0]
frame_c838185d8edd2cd594b90b68ec986813_a6fcc44efb9cb5301dc656633cc5c35f_90000-1280_720	night->Day [88.0]
frame_c48559f9f25e4fea14c864eb811d1d97_d4c39f371acc8e2d72821ecf73b98174_0-1280_720	night->Day [84.0]
frame_b4b96dc541e1f2583c021f8becb786a7_9a84841313293abac29273facde998ba_30000-1280_720	night->Day [88.0]
frame_324ebdfa76ca977423b53131a513988c_7af0412e69a85b117a6b08156ec284ff_60000-1280_720	night->Day [87.0]
frame_58429b8a-3497-4f32-bb59-124bb3c85e62_00000-1280_720	night->Twilight [61.0]
frame_94a64a746641f5ecdd7117dcc0725ee2_3b925b3ccdb35373a1a116ca0dd3669e_30000-1280_720	night->Twilight [64.0]
frame_d8df0301d0a0e50e2ef9df73c9afc4a9_63a80f273526daf4885a685c3369218a_30000-1280_720	night->Day [105.0]
frame_38802252-6ab0-47a7-9b92-16370b249577_00000-1280_720	night->Day [74.0]
frame_63de05dc67a72e6bb8b465bd04ab45e4_1c08f351296fd4e4283cd500ff1b63a7_0-1280_720	night->Day [98.0]
frame_beac43b6c0daaa3ade16ceba7cccf04e_1bc4d12933fdbb32ff52ca843eb866af_30000-1280_720	night->Day [91.0]
frame_3dcf5562439ffca80dcbf61dbb256997_3eb6c47af42426f328a692f3923e0cf5_90000-1280_720	night->Day [98.0]
frame_8a90bdf41ee4ddaf3f19e3ca4719189f_255d9e0c11be680585857269705d3c8c_60000-1280_720	night->Day [115.0]
frame_f86f3271b61ebd9a76355520cf3a0cb5_3f14f3bcec4f56bb269a872f096749cd_0-1280_720	night->Twilight [62.0]
frame_cf5b1db4be10dd7bdc72e834edd0fb15_4a318a43c90661462ef9c735f61e1f80_0-1280_720	night->Day [79.0]
frame_31c48f9e9e08f63cd8ef586ee629c483_cfe76dc6b6d6d68281c3b9d165aa7b72_60000-1280_720	night->Day [123.0]
frame_c8e3f7d434101d3b75c8f98fe1c30282_2e982175a17ae6ab0fd6b2047ed80a52_90000-1280_720	night->Day [97.0]
frame_b9e1b08527ff8805c6aa0ab51f66d825_12b32e32acc94f142b5d90a3f106442c_30000-1280_720	night->Day [113.0]
frame_eefd9733e7c740c1be6cf957b37dc843_ecbdeac5edaa51ba4f4b4d716a87f2b8_0-1280_720	night->Day [123.0]
frame_2ec0624b8b07c51f974f0e1755a757b0_c19e17063a383b926e6368512e799418_90000-1280_720	night->Day [83.0]
frame_6edf036bd3c8be74680d7fa1eb0cd5fa_9facee9acd653c0574afcc1cb67617d3_90000-1280_720	night->Day [74.0]
frame_3973efa32b258f8b1b98e4d4a328d3fb_cf8e27771607d03dffab2a315eef5b08_90000-1280_720	night->Day [111.0]
frame_f38430365d98ed8f5333684c3e2ddcf0_6b54e3aa81de797f16040cbb47ca6ae3_90000-1280_720	night->Day [74.0]
frame_1a0d5a6c43ea858e3263654ef35fdf1d_ccc8c63121da15ce16605e02c4a7fbc7_30000-1280_720	night->Day [117.0]
frame_871ab03d-6861-48b0-bba4-c855791760f8_00003-1280_720	night->Day [69.0]
frame_c0dd8f6b162c8d495d36410677da3ba9_13fb8f2696f077e468b4d877d6486c0e_60000-1280_720	night->Day [81.0]
frame_c970eaa16022b243b0d5e7464982a25d_0acbcce86e10c90e178fc141bc249951_30000-1280_720	night->Day [96.0]
frame_9897bcd84de391cb65876fbf85343e0f_2315aee11960d3941eb719c56cdb78b0_30000-1280_720	night->Day [95.0]
frame_49520705ef8bc7ed1f4463c242b075e6_3b1adc074edca9b62989d7062c23aecd_90000-1280_720	night->Day [112.0]
frame_c48559f9f25e4fea14c864eb811d1d97_aee6589d2e0b964a1b0357f3c3034d52_60000-1280_720	night->Day [83.0]
frame_74e8d2c9c5d3735a9b8e20bb8ab71f32_5f1579957e3ee7098e08c4d56f136150_90000-1280_720	night->Day [80.0]
frame_c8bd3325271fe8c9f988417e7387c70c_7a827c91718b0cb98379cdaaad77a5f6_60000-1280_720	night->Day [110.0]
frame_a5237a31d5f09f372ce0be11b3a3b88e_b33e200b073c246aaea0a2e1483a2890_90000-1280_720	night->Day [109.0]
frame_7069be21b47f32861fc2c7d1cb5ec27c_0fbb97a1dc98a8442665608e68fc94dc_90000-1280_720	night->Day [125.0]
frame_76e7879c9c71f2e4c51b3fb1e64535c8_929323d68b046fd2b5329168bad46aff_30000-1280_720	night->Day [74.0]
frame_77563936ec34fc7f79c3af51e5975aa2_89c362c61688e8f93467dcd8c8971aeb_30000-1280_720	night->Day [71.0]
frame_e76c482a26175b897ff5d597c7354d37_aaa9464dfe07636f6679aee44e9cef2d_60000-1280_720	night->Day [115.0]
frame_c16bdf7be06296167693a2df559717bb_ce3fa352a97b70022dbd7fc461e4490f_30000-1280_720	night->Day [85.0]
frame_33e0defdd0c2d97ba5d410330b4c91e9_6875dd64010fe9b36a2046c74c7768f8_0-1280_720	night->Day [95.0]
frame_6495b794f4d603a6e42abc9d56a72a2d_a0113b5effd4ce620838301b26c326b0_90000-1280_720	night->Day [78.0]
frame_f8472cba3cb0bbf985054b22db3b0436_d1d75ac9b1cf327215022ac22513cf2d_0-1280_720	night->Day [120.0]
frame_12f5b0d70db0b10da11b41f3efdaddf1_e9ca0e05048792b9c3cc99bb51fa4f44_60000-1280_720	night->Day [71.0]
frame_b3c3f8c29181781aab1fe3f64f84adce_8f7ac59e30f26300bba5f0b363520c20_30000-1280_720	night->Day [71.0]
frame_55ae1b0f27d9b624bf1add8851ef4eab_64f7b8aeed8fb199785364306e149530_0-1280_720	night->Day [95.0]
frame_1dedd81bb7f0692ebe043014be8cc1cb_7f78bc518c617a23377f6e488b5020ae_0-1280_720	night->Twilight [64.0]
d0410d0b-d81a-4aa7-a0a5-8c444cd85e52.mov-0001	night->Day [88.0]
frame_d26101503e6d32705b0a61346ffcb477_45ccf43f5766ab86cda602772f39c532_60000-1280_720	night->Day [116.0]
frame_b53053ced97dcfe2588007da7234c240_8e42504729fc5a26c1ec82a04b9e52e4_90000-1280_720	night->Day [101.0]
frame_905279c891fff2bcb9fbb9500e010cd9_7824a39cdd4a6d703e663c5ac5700129_60000-1280_720	night->Day [132.0]
frame_53c2fe6073b86961cebc7366740786bd_4b93b4e6f75c6d1672a3d040edb3d0ae_90000-1280_720	night->Day [80.0]
frame_941c70c6f5f4b47a80dc674f6094c856_11b8868a8fed814ff67dfff8794c2d8c_60000-1280_720	night->Twilight [66.0]
frame_4ee62222a8009a9a4cda21ce72b80791_54d28d479ad004c5e7ec9176f4f9b062_90000-1280_720	night->Day [81.0]
frame_e2e49a34-d298-41a9-9519-5aa1e66a86f2_00001-1280_720	night->Twilight [64.0]
frame_482783f8523641557635334f6643a319_4a7211d4fb9f710db84e17a85996f143_60000-1280_720	night->Day [98.0]
frame_f10245a70db1a6a07a838b2a712d1fb4_6565c2788afd2086fe82e888e947d262_0-1280_720	night->Day [72.0]
frame_c8bd3325271fe8c9f988417e7387c70c_869297b80c74c1bb8ac9b1257ca926b2_0-1280_720	night->Day [99.0]
frame_060748addf11c8bc474ccaca356c38bd_ff9edf1ca60d94ca70a6faa5e79a3b07_0-1280_720	night->Day [104.0]
frame_8df9a14a-330f-4cb8-bf70-a6a59b7ac14c_00000-1280_720	night->Twilight [68.0]
frame_c385e8f378439035fb1dbd34c29e92f0_26cb8e1fe45210c3449fad3fba90cf6e_30000-1280_720	night->Day [72.0]
frame_38f21c2eb4b3f937cd77215891675828_96389027d91bfbabaf9e2a17f63be9e2_90000-1280_720	night->Day [84.0]
frame_421cb78a0c6812cae494f7fc56ad6329_cfbafedb99e63f6ab74a8a7d51d4cee3_30000-1280_720	night->Day [94.0]
frame_d09e785f-b1a0-4d37-96b6-9cd4ab0311d9_00000-1280_720	night->Day [89.0]
frame_16f94bf63e52221eaaf8181ed5815d2e_0dee6ec9b19483bee0f77a3b1c9cae9d_60000-1280_720	night->Day [87.0]
frame_792a35d5428103c82ad00de3202797eb_4a062be19654f9a784568d7c89e1e125_0-1280_720	night->Day [105.0]
frame_607b9c96177d300c57c7dc7bb6896d73_d5bde08d065bdf6bcad88ddc6ec18739_60000-1280_720	night->Day [104.0]
frame_762fd542b7427918dc8273540b014bd6_a0253f6a4b017b4bc6f46a6140fa0e1a_60000-1280_720	night->Day [72.0]
frame_0962a1d9-d6dc-49ad-ad0a-e1c473d4a700_00001-1280_720	night->Twilight [66.0]
frame_a47a0744b6617583a277c28780d34c19_aaa5be87d7c7e3bce726571f2b668913_60000-1280_720	night->Day [103.0]
frame_1e85da70c9de84a263e57dbcbfbb9202_b467dce556f85bb9382ccfe5f6168366_30000-1280_720	night->Day [136.0]
frame_98d6709540185595e511f3e5a85345ed_9702d7ba4f77c09e37bc75cdd348a22f_30000-1280_720	night->Day [75.0]
frame_1be16ced9327969bd89b8064bec2423f_e54d1ec21707f0ff89cc4d97c3c7ce5b_90000-1280_720	night->Day [111.0]
frame_f37b54d6edc5c9de2f14c833e5179631_d66ca620d7f852b543360cecfca03158_0-1280_720	night->Twilight [66.0]
frame_c856cf478930dd09add1ecd544276b6d_eb593eb813771ba667a5a790906b0412_90000-1280_720	night->Day [77.0]
frame_285ca60188b2fb6a9cfbcefa65de530b_ecd9d1ce23e884ef03214cbc9e0e3611_0-1280_720	night->Day [71.0]
frame_96d34c117ca9c41892a0646af5d0cdaa_6da27358376388e3526a618218a0d794_90000-1280_720	night->Day [72.0]
frame_6639b371e17b774ff315e1ebbb3a3e07_59b2d1ae3c6e471c656be53a3d5840bd_60000-1280_720	night->Day [77.0]
frame_736ca31a-7713-419b-aabe-d8ee158cb9b3_00006-1280_720	night->Day [102.0]
frame_b7bdf46aeeabe21af2f0ad2a0932d40c_92246dc20c6c0bc370aa46fb4576cb1c_30000-1280_720	night->Twilight [60.0]
frame_9f406dd1-1f78-471b-b352-f7b5aa731c69_00000-1280_720	night->Day [78.0]
frame_f00b560697440a9ba7c6d5635cdee855_4dd27f4249e861eaef6bac6328d48816_90000-1280_720	night->Day [75.0]
frame_88416e4471326780ec109bd64bde3ca3_9263656134074582ff0fda7a5487b3b4_0-1280_720	night->Day [113.0]
frame_1067d00ec542733600e6a2f5922a65b0_24f4e95ddf37bc7028249b4ffd710ee0_30000-1280_720	night->Day [92.0]
frame_e998fbf1f1da584eb48e80892048f155_9bb1b9236944fd1dc3784679057cde91_60000-1280_720	night->Day [115.0]
frame_4f594d2d4b69e240fffb91eff6b09892_f7ecee68a7efffdefe415a9749b6cc3e_90000-1280_720	night->Day [109.0]
frame_331d90d2020397e5d24948f64d911ebe_cf39b4242ce0293d9c7076f3af8eaa8d_60000-1280_720	night->Twilight [64.0]
frame_51a94d0eec5d742ff3457210da635555_7d18eb8f2463dffe61d64c7b2f142534_60000-1280_720	night->Day [77.0]
frame_f0f5072305c683c617a0629e01f4e18e_fab2b49b6f55ff2e448aebac508adb94_60000-1280_720	night->Day [125.0]
frame_355b464d6a925e9fadd98e365cf1f805_55553fc67622b9024d9f9cc58cf9130e_0-1280_720	night->Day [98.0]
frame_e27b22e6169c4df8250b7023f1655410_fea7a6b88433f786d49e2302c559ead9_30000-1280_720	night->Day [95.0]
frame_fce4ed99436666e254ade10f191dadf3_30c399683f95820a6e36a15fbd009b85_90000-1280_720	night->Day [92.0]
frame_8a9ff71b435cf1179839433e1676ac61_e1afa5399cc940672f81897084091a8a_90000-1280_720	night->Day [101.0]
frame_86080e5a254eb37393dc631be121f6cd_a56fbc759f7df009ef431094febd5777_60000-1280_720	night->Day [125.0]
frame_1297e0d2-3c3f-453f-a3b7-a10731a68b03_30000-1280_720	night->Twilight [63.0]
frame_cc021303cbb536f080678d579212b495_a8b1ecf97d6fb307133098290331822c_60000-1280_720	night->Day [125.0]
frame_4dc35431-b26e-4648-a032-b50ca7f82eb5_00000-1280_720	night->Day [114.0]
frame_ffbc6ffc68864dc4f1053c5c9976b93c_c2f318eae9cf07f29e6003a1104db15b_60000-1280_720	night->Day [102.0]
825f27fe-e68b-4be3-82c1-35f634e7fb2c.mov-0001	night->Day [147.0]
frame_cc021303cbb536f080678d579212b495_3bce90c438cb1a398a2945cdb59e3df9_0-1280_720	night->Day [120.0]
incident-0-4935d2a1-7344-4d6b-b2b7-c48f5386e532.mp4-0001	night->Day [70.0]
906a2188-8168-45f6-8db9-1df553501ed5.mov-0001	night->Day [117.0]
frame_dd8345488f1eac0d62d44c999e5f646b_2815fd164bd1120a8a4a3f66e31497a3_90000-1280_720	night->Twilight [61.0]
frame_074f794d6bae43bc84473877920e01f9_caa62a39c9a6962cf9d4b38e4f077950_0-1280_720	night->Day [144.0]
frame_f0f5072305c683c617a0629e01f4e18e_28bbe803d87458cee9e8aa6373487902_60000-1280_720	night->Day [98.0]
frame_c970eaa16022b243b0d5e7464982a25d_3027c6a1a5d375a50037afaef245c119_0-1280_720	night->Day [115.0]
frame_977c33b379286835cbfa9ae0dfcc860c_4b657a759b3e2f9f2a919ae5d9fa8052_30000-1280_720	night->Day [93.0]
frame_1445dead9b5433815ec89c292e990895_7dac2a54da13ae5008b4d603e64d7d10_90000-1280_720	night->Day [122.0]
frame_ead9fcbfc278632998d40bb351ef75be_cfc68703946becdf6c0e969870d3a716_90000-1280_720	night->Day [101.0]
frame_c1d4aa801e96cecd614f8d1ce7ae04dd_569f6e85e91dfa760aa6b2d5c24e34a2_30000-1280_720	night->Twilight [60.0]
frame_99cb4779828ecbbe773f0380e38a22a2_7998f69dafef76e8e9476600bc66cf7d_30000-1280_720	night->Day [78.0]
frame_bf5f69edf7379eecb43715e002efe75c_57ab4e0316e368c88397395bff40af53_0-1280_720	night->Day [101.0]
frame_b68e3053a4b54347a9e43dc7c17cd1e0_529483884856bd3170457d29d6df094e_0-1280_720	night->Day [81.0]
frame_efe80b8d3e65c4fe4dd34b79cba8869f_29ec42e04fc1676f6120e0a4a395a56b_0-1280_720	night->Day [84.0]
frame_0bb354c5fad6c2905b2ab9fdd0ed8884_662aaeb20c130b92678b8328d5b7b68b_90000-1280_720	night->Day [117.0]
frame_edf15af1d5bc00f8951e292488ef848c_70cba5cc0cd32d0af07182e34909f7f9_0-1280_720	night->Day [71.0]
incident-0-ce33fca9-8798-4b4b-90ed-58d804211092.mp4-0001	night->Twilight [65.0]
frame_fa95dc2385d0cbe2b703d6d66719c907_b431b90d9ea19dfd142cd14425f3cdf9_30000-1280_720	night->Day [109.0]
aecb2633-4ed0-4832-aa92-e1a0d8f97a0e.mov-0001	night->Day [86.0]
frame_33e0defdd0c2d97ba5d410330b4c91e9_2c4cddf22cbcf926322c32ac3c7a9fd9_90000-1280_720	night->Day [79.0]
33fa7dec-37e0-409b-a78e-4a146547e616.mov-0001	night->Day [93.0]
frame_b1d69b7153871ab660f94a882d9070ea_17b9622ab9069af28996ce9c6dead607_90000-1280_720	night->Day [84.0]
frame_b1c0cde56d496021d8919e62ada739c6_48caa49a0b4148fe9a6ddd8a58a64f56_30000-1280_720	night->Day [74.0]
frame_568a9d1af5194ed3e31ffdcd121241eb_efacd384b874c15df325e3097d411a40_30000-1280_720	night->Day [117.0]
frame_6c992615ba04504b15546ea3444734df_45cdb3e9097654dcab5db128f9c6ec4e_60000-1280_720	night->Day [105.0]
frame_f221c0f6fb6d98ee07173d39f78dd0e6_910951afd905e68ebb1d175c638cd497_60000-1280_720	night->Day [82.0]
frame_85655778d87c1b675a80c84018168ece_8dcac65ed22f18a6f8c7a0b22fb586d2_0-1280_720	night->Day [84.0]
frame_2abaf9369a266220cfeb7701941e21bb_d62230ee92c9b92588e3d5c2abeefa8c_90000-1280_720	night->Day [112.0]
frame_ce54af10ba9fc72089d1bdbfbf0f41ce_c7f6039725510c6ae591aad5af848882_30000-1280_720	night->Day [73.0]
frame_14e5a704ee04a4506cb8f4e1e74f9c1c_0b8f39bcc4d243c8c205cdf7e8ef0b89_60000-1280_720	night->Twilight [67.0]
frame_576b5c02ec9bb8ab0d50b924779c0af5_df0f2d5bbab75e11f489c31b80a2ae0d_0-1280_720	night->Twilight [67.0]
frame_b69e22c9d6727128e61632cf64af879f_34e921aa999df17b1f2a2f1b8ed85257_60000-1280_720	night->Day [99.0]
frame_12f5b0d70db0b10da11b41f3efdaddf1_74cf10eebc16332a5bccef5026d0a160_60000-1280_720	night->Day [101.0]
